folder,file,status,problem_type,total_blocked_pct,obstacle_pct,damage_pct
lat phrao(chok chai 4-Liap duan) (fixed),13.789052_100.603999_niFt0-o0PCBqqUNH9lBuHw_210_2025-10.jpg,SAFE,None,0.55,0.55,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.789091_100.604146_KbwI-5lpDbaF0hXxU2ad1Q_30_2025-10.jpg,SAFE,None,1.1,1.1,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.789094_100.603926_OE6iYvLEXk-qMLNZd9ih1Q_210_2025-10.jpg,SAFE,None,0.0,0.0,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.789136_100.603852_cEtiDtJ5jcRiQsebYfvxsQ_210_2025-10.jpg,SAFE,None,1.96,1.96,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.789136_100.604064_k_wmQ5ltd--qXL8ZBAHHvQ_30_2025-10.jpg,SAFE,None,2.43,2.43,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.789180_100.603652_tK0taGssN2eVVfDU1hnayA_210_2024-11.jpg,SAFE,None,3.62,3.62,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.789181_100.603978_mVCelum9ps5DQGgqRVpjQQ_30_2025-10.jpg,SAFE,None,0.43,0.43,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.789227_100.603571_kIPgI8iUGb8ItSaYcv65_A_210_2024-11.jpg,SAFE,None,0.67,0.67,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.789227_100.603884_ENdA_lAQLf-aNRiYU7C2PA_30_2025-10.jpg,SAFE,None,3.83,3.83,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.789273_100.603489_c_KyuGUxkNkJ_lt_5aSDUA_210_2024-11.jpg,SAFE,None,8.16,8.16,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.789288_100.603807_dhnwcR2yOSLivyxJZPz_Dw_30_2024-11.jpg,SAFE,None,10.23,1.77,8.46
lat phrao(chok chai 4-Liap duan) (fixed),13.789318_100.603408_49Gnkiw-jAaE6ZMVkd2L9A_210_2024-11.jpg,SAFE,None,0.0,0.0,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.789335_100.603725_Og_xl_OXrReH1dg-kSTaVQ_30_2024-11.jpg,SAFE,None,13.76,3.2,10.56
lat phrao(chok chai 4-Liap duan) (fixed),13.789364_100.603326_G9H5_NhGBDMu4olG3b0rGQ_210_2024-11.jpg,WARNING,OBSTACLE,24.96,12.72,12.24
lat phrao(chok chai 4-Liap duan) (fixed),13.789381_100.603643_ZADAo1t1SoixRWJZZvhWJQ_30_2024-11.jpg,WARNING,OBSTACLE,32.47,29.46,3.01
lat phrao(chok chai 4-Liap duan) (fixed),13.789409_100.603244_Wt_KyWftT3wT57rMbG70eQ_210_2024-11.jpg,SAFE,None,13.75,13.75,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.789426_100.603563_wIN7SwpNIuoz2Tg_tK6Xrg_30_2024-11.jpg,SAFE,None,2.0,1.09,0.91
lat phrao(chok chai 4-Liap duan) (fixed),13.789453_100.603164_67sasy6uugnGL-SK-Exf2w_210_2024-11.jpg,SAFE,None,8.61,8.61,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.789496_100.603440_ZCu7FoWRdjTzHbParVAz0w_30_2024-11.jpg,SAFE,None,6.06,0.0,6.06
lat phrao(chok chai 4-Liap duan) (fixed),13.789500_100.603083_QomNy3L57MhOJt39PRRYVQ_210_2024-11.jpg,CRITICAL,SURFACE DAMAGE,52.05,11.43,40.62
lat phrao(chok chai 4-Liap duan) (fixed),13.789541_100.603359_eRM71tAx0JCcOTT9p8AXCw_30_2024-11.jpg,SAFE,None,0.0,0.0,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.789584_100.603278_VZ2ncS7pZjtr2sPp62JIzA_30_2024-11.jpg,SAFE,None,0.0,0.0,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.789591_100.602923_dGepfk5VR4K49j7MRMkb3A_210_2024-11.jpg,SAFE,None,2.63,2.63,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.789630_100.603197_mHkE3HsWht5snZJdFvC7Hw_30_2024-11.jpg,SAFE,None,0.0,0.0,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.789636_100.602842_qPR5huXxRmXptvQgV5YMcw_210_2024-11.jpg,SAFE,None,14.0,14.0,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.789677_100.603114_n_6qAxny4OQwU6nTNJuh0g_30_2024-11.jpg,SAFE,None,0.0,0.0,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.789682_100.602760_4dSV9WL_qq_8m8s8SzYuDg_210_2024-11.jpg,SAFE,None,3.94,1.92,2.02
lat phrao(chok chai 4-Liap duan) (fixed),13.789723_100.603032_HNf9i16FUO-tdQfzUFlVzQ_30_2024-11.jpg,SAFE,None,0.68,0.68,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.789727_100.602678_GTPz0m9nkZBYLttDx1DRkQ_210_2024-11.jpg,SAFE,None,0.0,0.0,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.789769_100.602951_rY4L29xxKike-JK3Z8GKkA_30_2024-11.jpg,SAFE,None,6.14,2.04,4.1
lat phrao(chok chai 4-Liap duan) (fixed),13.789772_100.602597_Q-s8AaMkN4m6UVwV16sVrg_210_2024-11.jpg,SAFE,None,3.01,0.59,2.42
lat phrao(chok chai 4-Liap duan) (fixed),13.789813_100.602870_PGJl3xf3AFQSHNWu2cPLuQ_30_2024-11.jpg,SAFE,None,2.0,2.0,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.789817_100.602517_EWHtU5MJkkJpOeOfZNvEJQ_210_2024-11.jpg,SAFE,None,4.91,4.91,0.0
